SID  SRC_IP  SRC_PORT  DEST_IP  DEST_PORT  ACTION  HIT_COUNT  DOMAIN
TIME 1746661926 2025-05-08 UTC
8165382  30.50.0.193  41707  130.60.0.234  53  Drop  1233  c2219hub.cc
TIME 1746663083 2025-05-08 UTC
9518512  20.20.0.180  20979  120.80.0.23  53  Alert  4376  trojan181leak.info
TIME 1746669358 2025-05-08 UTC
6418706  20.20.0.136  40703  160.90.0.50  53  Drop  759  shadow-dump.com
TIME 1746670558 2025-05-08 UTC
3948534  20.20.0.222  50782  160.90.0.232  53  Alert  1980  botnetsteal.net
TIME 1746672469 2025-05-08 UTC
9637936  30.50.0.229  16706  160.90.0.220  53  Alert  2434  hackdump.info
TIME 1746673027 2025-05-08 UTC
4796182  20.20.0.38  45206  130.60.0.75  53  Drop  2593  spyware-scan-6186.ru
8786296  20.20.0.121  5223  160.90.0.223  53  Drop  1767  ransom-attack-9186.xyz
TIME 1746674128 2025-05-08 UTC
9968929  50.40.0.190  7760  120.80.0.126  53  Alert  4925  botnet-leak.net
1410082  30.50.0.135  32030  130.60.0.105  53  Alert  884  controlaccess.net
TIME 1746675168 2025-05-08 UTC
7105078  50.40.0.48  29988  130.60.0.198  53  Alert  2065  command-scan-1226.ru
TIME 1746676681 2025-05-08 UTC
3942171  50.40.0.38  14195  130.60.0.216  53  Alert  2525  botnet-server-5934.net
4950487  30.50.0.140  43673  160.90.0.145  53  Drop  2397  virus-dump.com
TIME 1746677644 2025-05-08 UTC
5123931  30.50.0.79  56525  130.60.0.90  53  Alert  3634  c2-host.com
6050350  30.50.0.220  26125  130.60.0.82  53  Drop  4994  exploit-server.org
1543677  30.50.0.31  7770  130.60.0.197  53  Drop  2595  attack-net-7354.tk
TIME 1746678577 2025-05-08 UTC
6369365  20.20.0.55  30938  130.60.0.216  53  Drop  1046  covert-payload-8946.org
2791605  30.50.0.35  7656  160.90.0.76  53  Alert  4014  dark-host.xyz
2043714  30.50.0.193  64242  160.90.0.195  53  Drop  2766  exploit975admin.xyz
9134288  20.20.0.71  16663  120.80.0.249  53  Alert  4741  command997admin.xyz
6345287  50.40.0.39  38533  130.60.0.28  53  Drop  1447  virusexfil.info
3327176  30.50.0.7  14637  130.60.0.2  53  Drop  1417  covert610server.cc
9727989  50.40.0.13  62315  130.60.0.216  53  Drop  4590  controlserver.ru
8104035  50.40.0.237  18928  130.60.0.86  53  Drop  3416  covertzone.info
4077267  50.40.0.184  20456  120.80.0.197  53  Drop  1457  botnet705leak.cn
7792399  30.50.0.147  34730  120.80.0.222  53  Alert  3077  hiddenhost.ru
8862580  20.20.0.113  64228  160.90.0.155  53  Alert  2429  malware648exfil.xyz
2195269  50.40.0.135  23735  160.90.0.74  53  Drop  2313  c2-leak.ru
9113199  30.50.0.190  11779  120.80.0.91  53  Alert  4875  control-hub.cc
TIME 1746678698 2025-05-08 UTC
1559378  20.20.0.30  5615  120.80.0.134  53  Drop  3674  exploit218admin.xyz
9585212  30.50.0.76  43736  130.60.0.97  53  Alert  4142  attack219admin.net
2861437  30.50.0.226  64685  160.90.0.161  53  Alert  4789  evil-dump.net
7895245  20.20.0.46  44580  160.90.0.245  53  Drop  1210  exploit-zone-5506.xyz
8630352  20.20.0.21  49587  120.80.0.23  53  Alert  797  covert580steal.cc
1473720  50.40.0.161  19233  160.90.0.166  53  Drop  2752  hidden-zone-5155.tk
7316709  50.40.0.20  45098  120.80.0.212  53  Drop  1867  evil-net-6657.cn
4105521  30.50.0.179  61135  130.60.0.110  53  Alert  2622  command416access.ru
6168543  20.20.0.204  58732  120.80.0.173  53  Alert  3555  worm805scan.tk
9636698  20.20.0.81  9874  130.60.0.39  53  Drop  3294  virus-scan.org
4772967  50.40.0.195  28848  120.80.0.137  53  Drop  1434  trojan-admin-4475.info
TIME 1746678818 2025-05-08 UTC
1420849  20.20.0.178  22493  130.60.0.42  53  Drop  2741  dark947leak.net
2092677  50.40.0.52  58834  160.90.0.211  53  Drop  4641  botnet-net.ru
1573550  20.20.0.109  9593  160.90.0.176  53  Drop  4433  malwarezone.org
3605138  50.40.0.147  12454  130.60.0.161  53  Alert  1989  attack608exfil.org
5979330  50.40.0.43  53426  160.90.0.28  53  Alert  3193  virus-scan-5873.xyz
4751979  50.40.0.163  45624  130.60.0.150  53  Alert  954  control-attack.cn
3523671  30.50.0.228  26117  160.90.0.123  53  Alert  3999  botnet-payload-2811.tk
4722934  50.40.0.245  40782  120.80.0.214  53  Alert  2039  botnet-hub-2935.cn
